,Emotion,Phase,sentiment
112,guilt,"When my father and I worked on the house just after he had  
recovered from illness, I was rather lazy.  This meant that he  
had to work hard and was not very well later.",-0.16041666666666668
113,joy,"When I gave birth to my son and saw that he was alive and that I  
had managed it well.  He was born a month too early with a  
malfunctioning lung.  This happened a year ago.",0.1
114,fear,"When I found out that my father had lung cancer and they did not  
know how long he would live.",0.043181818181818175
115,anger,"When a colleague asked me for help at work, despite the fact  
that he had more time to do it than I had.",0.5
116,sadness,"When I did not get the salary increase that I had been expecting  
and understood how little one's work was appreciated.",0.0062500000000000056
117,disgust,When I was weeding the garden I found a lizard in my hand.,0.0
118,shame,"When I met a friend whom I had not seen for a long time and  
heard all about her troubles, I thought that I should have got  
in touch with her earlier.",-0.025
119,guilt,"I got angry at my mother for something trivial.  We were in a  
bad mood because my father was very ill and I knew that my mother  
really needed support.  I had reacted wrongly.",-0.4299999999999999
120,joy,"New year's eve 1983/1984, I met my girlfriend.  We stood on the  
steps outside her parents home and I kissed her for the  
first time.",0.12878787878787878
121,fear,"When I was stopped by plain clothes policemen because the car I  
was driving had overturned on the Avenue.  I had been driving too  
fast, and I was afraid when I was stopped, questionned and then  
toild to go.  The situation ended happily since there were no  
consequences.",0.04642857142857146
122,anger,"The editor changed the heading of an article that I had written.   
He considered the heading to be derogatory towards the person I had written  
about.",0.0
123,sadness,"A close acquaintance of the family died of lung cancer.   
Although it was expected, I still felt depressed.",-0.1
124,disgust,"When I saw a picture, in the Gothenburg Post, of a totally  
demolished car with two fatally injured passengers.  The car was  
so badly damaged that they couldn't get the bodies out at the  
scene of the accident.",-0.3499999999999999
125,shame,"One night I had a sexual intercourse with another man.  My sexual  
desire and my curiosity had made me jump into bed with him.  I am  
ashamed of myself now.",0.5
126,guilt,"Due to laziness, I failed the term studies completely at  
University.  I also wanted, to some extent, to protest against my  
parents' expectations.",-0.17500000000000002
127,joy,When I got the loan for my studies.,0.0
128,fear,"I met intoxicated people with dubious intentions in a back alley  
one Wednesday night.",0.0
129,anger,"On the T.V I saw a news feature on South Africa.  A policeman       
attacked a group of black people with a whip.",-0.16666666666666666
130,sadness,"The thought of having to read a boring book of 400 pages in  
English.",-0.5
131,disgust,Grovelling people.,0.0
132,shame,My inability to assert myself positively in a group.,0.22727272727272727
133,guilt,I experience feelings of guilt because I do not study enough.,0.0
134,disgust,"Observing someone in the cafeteria noisily gulping in his food,  
having extremely bad manners.",-0.6999999999999998
135,shame,"I guess I have often been ashamed after having talked badly of  
other people.",-0.125
136,guilt,Having been angry and unpleasant towards my parents.,-0.575
137,joy,"When my sister - after a history of one abortion and one  
stillbirth - gave birth to a perfectly healty boy.",1.0
138,fear,"When my sister had the still born child, she was emotionally very  
deep down, and it took her a long time to recover.",-0.06851851851851853
139,anger,"We were starting a student project, and the teacher we talked to  
was very negative and not very helpful.",-0.16333333333333333
140,sadness,"When my boyfriend openly let me down, preferring another girl.",-0.07777777777777779
141,disgust,"I felt some disgust for my boyfriend for a time, after he had  
left me.",0.0
142,shame,Can't think of any.,0.0
143,guilt,"Before an accident, my aunt offered me the front seat of the car,  
next to the driver. I declined, she took that seat and was killed  
there when the car crashed.",-0.1
144,joy,"Unexpected visit by a close friend, whom I hadn't seen for half a  
year.",-0.033333333333333326
145,fear,"I wandered by mistake into the safety zone of a shooting range,  
and was shot at.",0.0
146,anger,Being treated unfairly.,-0.5
147,sadness,Breaking up with a girl.,0.0
148,disgust,Nothing.,0.0
149,shame,None.,0.0
150,guilt,Little contact with my father before he died.,-0.1875
151,joy,"When I was accepted as a student at the college, not having  
thought it possible.",0.0
152,fear,"When I was the first to arrive at the scene after an accident,  
and found that a close school friend had been killed.",0.024999999999999994
153,anger,"I was accused of having done something, which I hadn't and got  
very angry.",-0.65
154,sadness,When my grandmother died.,0.0
155,disgust,Not applicable.,0.0
156,joy,"A couple of years ago during the summer holiday, I was fishing at  
a lake with my husband.  Suddenly it started raining while the  
sun was still shining. I experienced a feeling of joy, happiness  
and fulfillment.  the whole nature was full of music.",0.47500000000000003
157,fear,"I was alone at home, in bed reading a womens' magazine in which  
there were storiees of paranormal experiences.  My leg was  
itching and I stretched my hand to scratch and I felt another  
strange hand. (later I realized that it was the corner of the  
blanket)",-0.03333333333333333
158,anger,"I went to a lecture and once again it had been cancelled, this  
was the second time.  One had a negative attitude towards the  
lecturer. 
",-0.15
159,sadness,"I heard that a former superior of mine had died, I was later at  
home home reading about it in the newspaper and I thought of our  
interaction and how it was no longer possible.  The limited scope  
of human life is sad.",0.01836734693877551
160,disgust,"In the tram there was a fat, sickly looking woman in front of me  
who was asking for directions in a thick voice.  When she got up to  
go a disgusting smell of urine came from her.  I felt that I  
would choke.",-0.6714285714285714
161,shame,"When we were at home, my husband and I, he made a remark about  
something I had done, in a perfectly friendly manner.  My deed  
had been unjust and I knew that my husband was right, therefore my  
sense of shame.",0.33035714285714285
162,guilt,"I made a remark to my sister concerning her attitude to men, the  
way she talked and I compared her to an acquaintance of mine.   
Later, the same evening, my sister looked sad.  I felt guilty  
about her sadness.",-0.25
163,joy,"I had a summer job in Sweden, and my boyfriend came to meet me on  
my birthday.",0.0
164,fear,"I went to practice in Sweden during summer, and I was afraid that  
I would not do well.",-0.6
165,anger,"In the holiday cottage of our association, two of my pals came to  
wake me up early one morning by bringing a radio played at the  
highest volume into my room - it was the morning service at its  
loudest.",0.1
166,sadness,My grandmother died suddenly last summer.,0.0
167,disgust,"My superior at the summer job swindled customers as much as he  
could, and once put me in a difficult situation after which I  
could not but detest him.",0.1333333333333333
168,shame,"Once I arrived two hours late to my work place (a bank) and I was  
still feeling feeble and tired.",-0.4000000000000001
169,guilt,"Our association had Polish visitors and when they were going back  
by boat I did not go to see them off (I am the chairman of the  
association).",0.0
170,joy,"I was told quite unexpectedly that one wanted me to become the  
vice-chairman of our student organisation.  I was really  
surprised and joy was the first emotion I felt, though behind it  
there was worry - how shall I succeed ?",0.16999999999999998
171,fear,"Our tutorial group was soon to be divided, and we got a list of  
names of freshmen, out of which five were to be in my group.  We  
read the names and then each group went its own way to a seminar  
room.  I wondered how I would cope with the new situation and if  
I would succeed as a group leader.",0.36818181818181817
172,anger,"We were in a disco and the evening was not at all pleasant.   
Despite my not knowing why, I was angry with my companion.  I let  
him feel my bad humour as I cannot hide my feelings.",-0.15555555555555553
173,sadness,"My grandmother died, and my mother called me one sunday morning  
in the Autumn.  The way my mother told me about it, I hated her  
at that moment.  She sounded as if she had been waiting for the  
death of my grandmother.  I had lost a person close to me.  I  
felt guilty too as I had been bad to my grandmother of late.  I had not  
remained calm when she no longer understood everything so well.",-0.41999999999999993
174,disgust,"At the underground station, a drunkard came to speak to me.  He  
tried to ask me something but I did not answer so he began to  
speak about me with his companion.  I detested this dirty  
growling man.",-0.6
175,shame,"I was worried by a task related to my studies which had to be  
done in groups of two.  I was talking about it to my friends when  
I said something negative, in too abrupt a manner, concerning my  
work partner.  I did not quite mean what I said and I felt  
ashamed at having been mean enough to criticize him as he is also  
a friend of mine.",-0.17500000000000002
176,guilt,"I had told my boyfriend that I did not want to go on with our  
relationship.  I knew that I was important to him but I wanted to  
be free.  I saw that this was difficult for him but I remained  
firm and did not change my mind.",0.02500000000000001
177,joy,"Last night I had a chat with a fellow student.  I had known her  
for about half a year, and for the first time we were speaking  
""the same language""- meaning an inspiring discussion and  
encounter.",0.11666666666666667
178,anger,"[ I sometimes quarrel with my mother because she blames me,  
though I have not in any way been connected to some events.]",0.0
179,sadness,"After hearing about the death of my grandfather.  First I could  
not believe it, but later I wept and felt the situation was  
hopeless.  I felt lonely and wanted to be consolated.",0.05000000000000001
180,disgust,"In the evening, while I was watching TV, my little brother came  
in and started eating food he had brought from the kitchen while  
I was trying to concentrate on the program.",-0.1875
181,shame,"My little brother was arrested by the police at the railway station after  
he had drunk some beer.",-0.34375
182,guilt,"At my temporary job, I have to restrict  others' actions and make  
them obey me, and this very often gives me  a feeling of guilt.  I  
wish there could be some other way of acting.",0.025000000000000005
183,joy,"I met a dear friend of mine after a long time.  I expressed my feelings  
in our own usual way, by mutual scolding and abusing (with  
complete understanding) and by touching, patting and taking the  
hand of the other person, etc...",0.12916666666666665
184,fear,"I felt fear of the purest kind after a car accident.  The  
incident and images of horror kept coming back to my mind.  I  
wondered what could have happened to my sister, my friend and me,  
though nothing very serious actually happened.",0.04166666666666666
185,anger,"Two boys whom I know were telling me, in an indecent manner, how  
they had teased a young and shy girl I know.  They had despised  
her conviction, scorned and touched her.  I got very angry and  
did not try to conceal it and gave it back to them.",-0.2625
186,sadness,"My sweetheart left me, or rather we decided to break it off by  
mutual consent.  The consequences were - unrestrained weeping,  
feelings of loneliness, hopelessness and disconsolation.  I felt  
that I should find a friend, to talk to joyfully and to forget.",0.0
187,disgust,"Out of sheer curiosity, I went to see a pornographic movie in  
Copenhagen.  The room was full of men, who panted and  
masturbated.  Very disgusting.",-0.21666666666666667
188,shame,"After having quarelled unnecessarily and without any reason, and  
having been stupidly cross in every way.",-0.2
189,guilt,Forced to fill in a questionnaire.,-0.30000000000000004
190,joy,When I won a tennis match.,0.0
191,fear,When my dog ran out on thin ice last spring.,-0.2
192,anger,"When my tennis match was interrupted because a kid cycled right  
into the court.",0.2857142857142857
193,joy,"Celebrations on the graduation day with the orchestra playing in  
the garden ( I am a part of this orchestra).",0.0
194,fear,Risk of being involved in a fight after a party.,0.0
195,anger,"I had a very heavy work load and two colleagues, whom I have  
nothing against, disturbed me by ""terror ringing"", i.e  
continously interrupting me by telephoning.",-0.26
196,sadness,After an exam which I failed.,-0.5
197,shame,"When I overtook a car on the mainroad, misjudging the distance of  
an oncoming car and this resulted in tooting and flashing from  
the other driver (we could have collided), and I had an  
acquaintance in the car with me.",-0.125
198,guilt,"I saw a neighbour, from the same appartment block as me, lying     
on the road.  He could have been injured or ill.  I kept 20  
metres away and did not go to help him.",-0.25
199,joy,When I met an old schhol friend (school love).,0.3
200,fear,"When I was cycling to school, I nearly got knocked down by a car  
which (overtook me too closely) did not give me any swerving space.",-0.02777777777777779
201,anger,"When I was deputy manager during the Summer, certain deputies  
took liberties, more than what was normal.",0.2880952380952381
202,sadness,"When I realized that my girlfriend, whom I like, and I were going  
to separate.",0.0
203,disgust,Dog dirt which thaws in the spring.,0.0
204,shame,When I forgot my mother's birthday.,0.0
205,guilt,[ Can not think of anything just now.],0.0
206,joy,Passed the last exam.,0.0
207,fear,Was nearly knocked down by a car.,-0.02777777777777779
208,anger,"I reached the bus stop and realized that I had forgotten my bus  
pass.",0.0
209,sadness,"My current work load is too much.  The feeling comes back from  
time to time.",0.06666666666666667
210,joy,When my one year old son gives me a spontaneous kiss.,0.35
211,fear,When someone close to me is travelling by car and is delayed.,0.0
212,anger,When someone does something wrong which affects me negatively.,-0.4
213,sadness,When I think about my parents getting old.,0.1
214,guilt,"I do not have the time for other people's problems.  My  
mother-in-law is sometimes depressed and I do not have the time,  
the desire or the strength to help.",-0.125
215,joy,"An ex-colleague asked me if I was interested in working in their  
accounts bureau.  They needed ""clever people"" and he had  
""immediately thought of me.""",0.20833333333333331
216,fear,"I was driving and a deer suddenly appeared in front of the  
car when there was a lot of traffic behind me.",-0.2
217,anger,I saw a report on T.V news on apartheid in South Africa. ,0.0
218,joy,When my girlfriend became pregnant.,0.3333333333333333
219,fear,When I nearly collided with another car.,0.1
220,anger,The time when someone let the air out of the tyres of my cycle.,0.0
221,sadness,When I read a lot and did not remember anything.,0.0
222,guilt,The time that I had to put my dog to sleep.,0.0
223,sadness,Long illness.,-0.05
224,joy,When I passed an exam.,0.0
225,fear,"When I was travelling by tram, I tripped and fell against the  
door.  I thought that I was going to fall out.",0.0
226,anger,When I missed the tram after having run for it.,0.0
227,sadness,The inability to read a book at college.,0.0
228,disgust,If a guy one is not interested in makes advances.,-0.125
229,shame,I drink wine too often.,0.0
230,guilt,I do not study enough as I do not understand it properly.,0.0
231,joy,"I worked at a lawyer's office during Summer and I got a very  
good reference from him.",0.9099999999999999
232,fear,"I had been watching a triller a dark night in the country and I  
had to go the outside toilet on my own. ",0.10416666666666666
233,anger,"When I am accused of something I have not done, I get unbelievably  
angry.",-0.5
234,sadness,"When I began to read a thick book, which I had a limited time to  
read.  Also when I have a lot of work to do and I cannot keep up.",-0.18571428571428572
235,disgust,Someone vomited on the street.,0.0
236,shame,"I can not think of any incident when I have felt very ashamed.   
There are small incidents that I am ashamed of, for instance,  
not sending money to the children in Ethiopia.",-0.024999999999999994
237,guilt,"I had lunch with my ex-boyfriend and did not mention it to my  
fiancee.  I felt guilty despite the fact that I felt nothing for  
my ex-boyfriend.",-0.5
238,joy,When I was finally qualified for my profession.,0.0
239,fear,Someone attacked me with a knife.,0.0
240,anger,Someone drove into my car and then denied that it had happened.,0.0
241,sadness,When I was told that my friend's wife had cancer.,0.0
242,disgust,When I saw a dog which had been knocked down by a car.,-0.15555555555555559
243,shame,When I boxed my child's ears.,0.0
244,guilt,When I was fined for speeding.,0.0
245,joy,I stopped working (had a boring job).,-1.0
246,fear,"I was going home by car late one night when it was cold, dark and  
windy.  I became rather panicky on the way to my house.",-0.3499999999999999
247,anger,Quarrel in the family.,0.0
248,sadness,"When I am alone in a room with no contact with anyone -  
loneliness drains me.",0.0
249,disgust,When I was on holiday someone vomited in front of me.,0.0
250,shame,Emptied a bucket of water in a hospital.,0.0
251,guilt,When I feigned sick leave from work.,-0.7142857142857143
252,joy,When I get a hug from someone I love.,0.5
253,fear,"I was driving very fast on a small road and I met an oncoming car  
in a right handed bend.  The other driver was on his own side of  
the road and I had to skid out of it to avoid a collision.  It  
was dark.",0.10345238095238095
254,anger,"My car had been towed away by the traffic police because it had  
been wrongly parked.  However the sign had been put up only after  
I had already parked.",-0.25
255,sadness,After an operation I had to stay in bed for a long time.,-0.05
256,disgust,"I was forced to stay in the canteen and eat the food that I had  
not asked for but got it anyway.",-0.30000000000000004
257,shame,When I did not buy what I had promised to.,0.0
258,guilt,"By mistake I took a book from the library which was not supposed  
to be loaned out.",0.0
259,joy,When I won an unexpected sum of money.,0.1
260,fear,"My 2 year old daughter disappeared in a moment of inattention; I  
was responsible for her.",0.15000000000000002
261,anger,"A colleague asked me for some advice and as he did not have  
enough confidence in me he asked a third person.",0.0
262,sadness,"I wanted to be pregnant and did not succeed, so I was depressed     
at every menstruation.",0.3333333333333333
263,disgust,"In a warm bus full of people, someone vomited and the whole bus  
stank.",0.3833333333333333
264,shame,"I complained about a colleague's behaviour as she goes back on  
her word, is often absent and is irresponsible.  I found out that  
she was an alcoholic and was trying to fight againt her  
addiction.",-0.18333333333333335
265,guilt,"I spoke to my mother on the phone.  She had skin cancer and was  
waiting to be operated.  I forgot to ask her the date of the  
operation and just before finishing our conversation she gave me  
the date in passing. ",0.0
266,joy,"When I was at a party I met an old friend from an adult  
education course.  We had not met for 2 years but had both thought  
a lot about each other.  A wonderful experience. 
",0.26875
267,fear,"When I was cycling through the park late one night, two people  
jumped out of the woods and tried to stop me.  There were  
shouting something at the same time.",-0.15
268,anger,"When close relatives tried to dissuade me from studying  
Psychology because of its low status.",0.0
269,sadness,"I had a long discussion on politics with an acquaintance.  He  
was more knowledgeable than me and I failed to explain my point  
of view and was misunderstood so I felt depressed and left.",-0.012499999999999997
270,disgust,"When I read a newspaper article on a young girl who had been  
raped and assaulted one night by several men when she was unconscious.",0.05
271,shame,"My mother revealed personal details about me and the  
negative aspects of my character to other people when I was  
present but unable to defend myself.",-0.185
272,guilt,"I was unfaithful to my partner once when he was working abroad  
for a long period.",-0.325
273,joy,When I recently got an appartment in central Gottenburg.,0.0
274,fear,When I saw a large spider crawling up the wall.,0.21428571428571427
275,anger,"My employer took too many aspirins for a bad back and also drank  
an enormous amount of spirit.  This was dangerous  and he did  
not understand that he had done anything wrong.",-0.21666666666666665
276,sadness,"When I left New York, and all my family and my friends behind me.",-0.08787878787878789
277,disgust,"When I slept with a guy because my best friend wanted me to.   
He had never had intercourse with anyone and had a terrible  
complex about it.",-0.09999999999999999
278,shame,"When I dated a close girlfriend's boyfriend a few times. He told  
me that it was over between them and I accepted it.  When she  
found out she finished our friendship.",-0.2
279,guilt,"When I broke off with my boyfriend after three years.  It was  
quite unexpected for him and there was no particular reason for  
the break up, such as someone else.",0.005555555555555559
280,joy,"When my son returned from mountaineering - healthy in body and  
soul.",0.5
281,fear,"When one meets new people with whom one is forced to collaborate  
with.",-0.08181818181818185
282,anger,"The sports fishermen who catch gulls instead of fish with their hooks.  
  It is often a mistake but it makes me angry.",-0.5
283,sadness,I feel sad about an event I can not influence.,-0.5
284,disgust,"When a member of the family complains about the food that is  
served, it disgusts me.",0.0
285,guilt,"I have chosen to put my son in a private school were the  
examination marks are low.  Every time that he gives me his term  
results I am left with a sense of guilt.",0.0
286,joy,"When I was informed that I had been accepted as a student of  
Psychology.",0.0
287,fear,"When I was in a little fishing boat and we ran into hard weather  
in the open sea.",-0.15972222222222224
288,anger,"When I found out that the guy I was dating at a particular time  
had a steady relationship going on with someone else for a long  
time.",0.09444444444444444
289,sadness,I felt sad and depressed when I heard that our cat had died.,-0.5
290,disgust,"When I was working as a nurse in a mental hospital, a patient ate  
up the contents of another patient's spitoon.",-0.1
291,shame,"At primary school, when I vomited in front of others in the middle   
of a lesson.",0.2
292,guilt,"I arrived an hour late for an important meeting ( I had  
misunderstood the time).",0.05000000000000002
293,joy,When I was acceptted as a student of psychology.,0.0
294,fear,When my son has a pain in his leg (for no apparent reason).  ,-0.025
295,anger,"When, after a week at school, a teacher sent a note home saying  
that my son was inattentive and unable to do his lessons.",-0.5
296,sadness,"When I thought that it was going to be impossible for me to start  
studying (due to wrong information from the student advisor).",-0.4305555555555555
297,disgust,"At a certain person's lack of cleanliness, at home and  
personally.",0.10714285714285714
